nombre_cientifico,nombre_comun,origen,manejo,forma_de_vida,imagen_url,descripcion_uso
Artemisia ludoviciana,Incienso verde estafiate,Estados Unidos de América México y Guatemala,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Artemisia%20ludoviciana.jpg,"Se emplea principalmente en infusiones para tratar trastornos digestivos como dolor estomacal, cólicos, diarrea e indigestión. También se ha utilizado para aliviar fiebre y algunos malestares gastrointestinales."
Asclepias curassavica,Rompe muela,Sudamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Asclepias%20curassavica.jpg,"se ha utilizado en medicina tradicional para tratar afecciones respiratorias, inflamaciones y problemas digestivos. No obstante, esta planta contiene compuestos llamados glucósidos cardiacos, los cuales pueden resultar tóxicos para humanos y animales si se consumen en grandes cantidades."
Asparagus setaceus,Velo de novia,Sur de África,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Asparagus%20setaceus.webp,"Sus bayas son tóxicas y pueden causar vómito, dolor abdominal y diarrea; además el contacto con la planta puede causar dermatitis o irritación en la piel."
Astrocaryum mexicanum Liebm. ex Mart.,Chapulí chapaya chichón,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Astrocaryum%20mexicanum%20Liebm.%20ex%20Mart..jpg,"Esta planta puede utilizarse tradicionalmente como apoyo nutricional para fortalecer el organismo. Sus frutos se consumen como alimento energético y se asocian con el tratamiento de debilidad general, anemia y estados de desnutrición."
Astronium graveolens Jacq.,Jobillo,América desde México hasta Brasil,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Astronium%20graveolens%20Jacq..jpg,"Se han utilizado extractos de la corteza para tratar inflamaciones o infecciones cutáneas leves. Sin embargo, el contacto con la savia o el polvo de la madera puede causar dermatitis alérgica en personas sensibles, por lo que se recomienda precaución."
Attalea rostrata Oerst.,Corozco,Mesoamérica,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Attalea%20rostrata%20Oerst..jpg,"El aceite obtenido de los frutos de esta palma puede emplearse de manera tradicional para el cuidado de la piel y el cabello. Se utiliza para tratar resequedad, irritaciones cutáneas leves y como hidratante natural."
Averrhoa carambola,Carambola,Sureste de Asia,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Averrhoa%20carambola.jpg,"Puede causar neurotoxicidad grave en personas con enfermedad renal, generando confusión, convulsiones o vómitos si se consume en exceso."
Bactris baculifera,Chiquiyul,Mesoamérica,silvestre tolerada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bactris%20baculifera.jpg,"Los frutos de esta planta se consumen tradicionalmente como alimento nutritivo. Se consideran útiles para fortalecer el organismo y apoyar en casos de debilidad física, cansancio o falta de energía."
Bactris gracilior Burret,Guata,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bactris%20gracilior%20Burret.jpg,Esta planta puede utilizarse como complemento alimenticio tradicional. Sus frutos aportan nutrientes que ayudan a la recuperación del organismo en casos de debilidad o desgaste físico.
Bactris major var.,Jahuacte,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bactris%20major%20var..jpg,"El consumo tradicional de los frutos de esta palma se asocia con el fortalecimiento del organismo. Se considera útil como apoyo nutricional en casos de debilidad, anemia o falta de energía."
Bactris mexicana var. trichophylla (Burret),Jahuactillo,Mesoamérica,silvestre tolerada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bactris%20mexicana%20var.%20trichophylla%20(Burret).jpg,"Los frutos de esta planta pueden consumirse como alimento tradicional y se relacionan con el fortalecimiento del organismo, ayudando en casos de desnutrición o debilidad general."
Bambusa vulgaris,Bambú,Sur de Asia,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bambusa%20vulgaris.webp,"En la medicina tradicional asiática, las hojas y brotes se usan en infusiones para tratar fiebre y problemas respiratorios leves; los brotes jóvenes también se consumen como alimento."
Begonia heracleifolia,Meralmelindo caña de adorno,México a Guatemala,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Begonia%20heracleifolia.jpg,Algunas especies de Begonia se han usado en medicina tradicional para aliviar inflamaciones o irritaciones de la piel; su uso medicinal específico es poco documentado.
Begonia peltata,Flor de luna begonia,México,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Begonia%20peltata.jpg,"Contienen oxalatos, por lo que ingerirlas puede causar irritación de boca y garganta, náuseas y vómito."
Bidens pilosa,Margarita,América austral,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bidens%20pilosa.jpg,"Utilizada en medicina tradicional para tratar infecciones leves, inflamación y problemas digestivos; también se estudian sus propiedades antimicrobianas."
Bixa orellana,Achiote,México Centro y Suramérica,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bixa%20orellana.jpg,"Las semillas y hojas se usan tradicionalmente para tratar afecciones digestivas, fiebre y problemas de la piel; además es conocido como colorante natural."
Blepharidium guatemalense,Popiste popistle,Sureste de México a Guatemala,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Blepharidium%20guatemalense.jpg,Ingerir partes de la planta puede provocar malestar digestivo leve.
Bougainvillea spectabilis,Buganvilia,Andes en Ecuador a sur de Brasil,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bougainvillea%20spectabilis.jpg,"Las flores se utilizan en infusiones tradicionales para aliviar tos, gripe y problemas respiratorios leves."
Brachiaria brizantha,Pasto insurgente,África,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Brachiaria%20brizantha.jpg,Gramínea utilizada principalmente como forraje para ganado; no se reportan usos medicinales importantes en humanos.
Brassica integrifolia,Coliflor,Sur de Asia,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Brassica%20integrifolia.jpg,Consumida como alimento nutritivo rico en vitaminas y antioxidantes; se asocia con beneficios digestivos y prevención de enfermedades.
Brassica juncea,Mostaza,Sur de Asia,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Brassica%20juncea.jpg,Las semillas y hojas se usan en alimentación y en medicina tradicional como estimulante digestivo y antiinflamatorio; en exceso puede irritar la piel o mucosas.
Breynia disticha,Vejez y juventud,Nueva Caledonia Vanuatu,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Breynia%20disticha.jpg,"Su ingestión puede provocar náuseas, vómitos o irritación gastrointestinal."
Bromelia karatas,Piñuela (tierra),América tropical,tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bromelia%20karatas.jpg,"El fruto y otras partes se han utilizado tradicionalmente para tratar infecciones respiratorias, tos y problemas digestivos leves."
Brugmansia × candida Pers.,Campana,Ecuador Chile y Perú,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bucida%20buceras.jpg,"Planta con alcaloides tropánicos usada en rituales tradicionales; es altamente tóxica y su consumo puede causar alucinaciones, intoxicación grave o incluso la muerte."
Bucida buceras,Pucté pukte,Islas del Caribe y sureste de México,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bursera%20graveolens.jpg,Árbol utilizado principalmente por su madera resistente; en medicina tradicional algunas partes se han empleado para tratar infecciones leves y problemas digestivos.
Bursera graveolens,Sasafrás,Costa Pacífica de Sudamérica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Bursera%20simaruba.jpg,La madera aromática se usa en sahumerios tradicionales y se le atribuyen propiedades relajantes; el aceite esencial puede causar irritación si se usa en exceso.
Bursera simaruba,Palo mulato,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Calatola%20laevigata.jpg,"La corteza se ha utilizado en medicina tradicional para tratar fiebre, diarrea e inflamaciones leves; también se emplea en remedios para afecciones de la piel."
Calatola laevigata,Coscorrón (Tacotalpa),México y Costa Rica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Calophyllum%20brasiliense.jpg,Consumir partes de la planta podría causar irritación estomacal o digestiva.
Calophyllum brasiliense,Bari,América,silvestre cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Calyptronoma%20ghiesbreghtiana%20(Linden%20&%20H.Wendl.).jpg,"La resina y corteza se han usado tradicionalmente para tratar inflamaciones, heridas e infecciones cutáneas; algunos extractos pueden causar irritación."
Calyptronoma ghiesbreghtiana (Linden & H.Wendl.),Guano de talíz,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Camellia%20japonica%20L..jpg,En algunas prácticas tradicionales esta planta se utiliza como apoyo para el bienestar digestivo. Puede emplearse en preparaciones caseras destinadas a aliviar molestias digestivas leves.
Camellia japonica L.,Camelia,Japón,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Canna%20indica.jpg,"Planta ornamental; algunas especies del género Camellia contienen antioxidantes, pero esta especie se cultiva principalmente con fines decorativos."
Canna indica,Bandera,Cosmopolita tropical,silvestre cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Capraria%20biflora%20L..jpg,Los rizomas se han utilizado como alimento y en medicina tradicional para tratar inflamaciones leves y problemas digestivos.
Capraria biflora L.,Esclavosa,América tropical,cultivada silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Capsicum%20annuum%20L..jpg,"En la medicina tradicional se emplea en infusiones para tratar fiebre, infecciones leves y problemas digestivos."
Capsicum annuum L.,Chile dulce,México,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Capsicum%20annuum%20var.%20glabriusculum%20(Dunal)%20Heiser%20&%20Pickersgill.jpg,Fruto rico en vitaminas; se utiliza en alimentación y en remedios tradicionales para estimular la digestión y mejorar la circulación.
Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill,Chile amashito,México,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Capsicum%20annuum%20var.%20glabriusculum%20(Dunal)%20Heiser%20&%20Pickersgill.jpg,"Chile silvestre muy usado en la cocina regional; contiene capsaicina, que puede estimular la digestión pero causar irritación en exceso."
Capsicum chinense Jacq.,Chile habanero,México y el Caribe,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Capsicum%20chinense%20Jacq..jpg,"Chile muy picante usado en la alimentación; la capsaicina puede estimular la digestión, pero en exceso provoca irritación gastrointestinal o de la piel."
Carica papaya,Papaya,América tropical,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Carica%20papaya.jpg,El fruto se consume como alimento y ayuda a la digestión por su enzima papaína; las semillas se usan tradicionalmente contra parásitos intestinales.
Casuarina equisetifolia,Pino,Australia sur de Asia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Casuarina%20equisetifolia.jpg,Árbol usado principalmente para reforestación y madera; algunas infusiones tradicionales de la corteza se han usado para tratar diarrea.
Cecropia obtusifolia,Guarumo,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cecropia%20obtusifolia.jpg,"Las hojas se usan en medicina tradicional para tratar diabetes, problemas respiratorios y presión arterial alta."
Ceiba pentandra,Ceiba,América tropical,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ceiba%20pentandra.jpg,"Árbol sagrado en Mesoamérica; la corteza y hojas se han usado tradicionalmente para tratar inflamaciones, fiebre y heridas leves."
Celosia argentea L.,Mano de león cresta de gallo,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Celosia%20argentea%20L..jpg,"En medicina tradicional se han utilizado semillas y hojas para tratar infecciones oculares, diarrea y problemas inflamatorios."
Ceratozamia euryphyllidia Vazq. Torres Sabato & D.W.Stev.,Palmita,México,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ceratozamia%20euryphyllidia%20Vazq.%20Torres%20Sabato%20&%20D.W.Stev..jpg,"Como otras cícadas, contiene toxinas (cicasina) que pueden provocar: vómitos y diarrea, daño hepático, intoxicación severa si se ingiere. "
Ceratozamia mexicana Brongn.,Palmita,México,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ceratozamia%20mexicana%20Brongn..jpg,"Tóxica; ingerirla puede causar daño hepático, vómitos y problemas neurológicos."
Cestrum racemosum Ruiz & Pav.,Amargoso,México y el Caribe,silvestre tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cestrum%20racemosum%20Ruiz%20&%20Pav..jpg,"Algunas especies del género se han usado tradicionalmente para tratar infecciones o inflamaciones, pero varias pueden ser tóxicas si se ingieren."
Chamaedorea alternans H.Wendl.,Guaya de cerro,Mesoamérica,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20alternans%20H.Wendl..jpg,"pueden causar malestar digestivo leve, en algunos casos irritación de boca o estómago."
Chamaedorea arenbergiana Mart.,Guaya rara,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20arenbergiana%20Mart..jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea cataractarum Mart.,Chibé guayita de río,Sur México,silvestre tolerada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20cataractarum%20Mart..jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea elatior Mart.,Matambilla lisa,Mesoamérica,silvestre,bejico,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20elatior%20Mart..jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea elegans,Camedor,América tropical,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20elegans.jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea ernesti-augusti,Cola de macabí,Mesoamérica,silvestre tolerada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20ernesti-augusti.jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea oblongata,Xaté cola de pescado,México a Honduras,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20oblongata.jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chamaedorea sartorii,Moj-ito,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chamaedorea%20sartorii.jpg,pueden causar malestar digestivo leve y en algunos casos irritación de boca o estómago.
Chenopodium ambrosioides,Epazote,América,silvestre cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chenopodium%20ambrosioides.jpg,Planta muy usada en la cocina y medicina tradicional para tratar parásitos intestinales y problemas digestivos; su aceite esencial puede ser tóxico en dosis altas.
Chrysobalanus icaco,Icaco,México,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chrysobalanus%20icaco.jpg,El fruto se consume como alimento y las hojas se han usado tradicionalmente para ayudar a controlar la glucosa en la sangre.
Chrysophyllum cainito L.,Caimito,Belice Caribe,silvestre,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Chrysophyllum%20cainito%20L..jpg,El fruto es comestible y nutritivo; las hojas y corteza se han utilizado en medicina tradicional para tratar inflamaciones y problemas digestivos.
Cissus sicyoides L.,Bejuco loco,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cissus%20sicyoides%20L..jpg,"En la medicina tradicional se usa en infusiones para tratar diabetes, inflamación y problemas circulatorios."
Citrullus vulgaris,Sandía,Asia y África tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrullus%20vulgaris.jpg,Fruto hidratante rico en vitaminas y antioxidantes; se consume para favorecer la hidratación y la salud cardiovascular.
Citrus aurantium,Naranja agria,Asia tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20aurantium.jpg,El fruto y la cáscara se usan en infusiones para problemas digestivos y resfriados; algunos extractos pueden afectar la presión arterial si se consumen en exceso.
Citrus grandis,Naranja agria,Sureste asiático,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/CITRUS-GRANDIS.jpg,El fruto se consume fresco y en infusiones; se usa tradicionalmente para favorecer la digestión y aportar vitamina C.
Citrus limetta Risso,Lima lima dulce,Asia tropical,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20limetta%20Risso.jpg,Fruto cítrico consumido como alimento y en bebidas; se usa tradicionalmente para aliviar malestares digestivos leves.
Citrus limon (L.) Burm.f.,Limon,Sureste asiatico,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20limon%20(L.)%20Burm.f..jpg,"Muy utilizado en alimentación y remedios caseros para resfriados, digestión y desinfección leve por su contenido de vitamina C."
Citrus medica L.,Limon real limon de conserva,Sureste asiatico,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20medica%20L..jpg,El fruto y la cáscara se utilizan en dulces e infusiones tradicionales para problemas digestivos y resfriados.
Citrus nobilis Lour.,Mandarina,Indochina,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Mandarina.jpg,Fruto rico en vitamina C; se consume para fortalecer el sistema inmunológico y favorecer la digestión.
Citrus paradisi Macfad.,Toronja,Sureste asiatico,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20paradisi%20Macfad..jpg,"Consumida fresca o en jugo; rica en antioxidantes, aunque puede interactuar con algunos medicamentos."
Citrus sinensis (L.) Osbeck,Naranja,China sureste de Asia,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Citrus%20sinensis%20(L.)%20Osbeck.jpg,Fruto muy consumido por su aporte de vitamina C; se usa para fortalecer el sistema inmunológico y prevenir resfriados.
Cochlospermum vitifolium,Pochote,América tropical,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cochlospermum%20vitifolium.jpg,"La corteza y flores se han usado en medicina tradicional para tratar inflamaciones, fiebre y afecciones respiratorias."
Cocos nucifera L.,Coco,Islas del Pacífico,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cocos%20nucifera%20L..jpg,El agua y la pulpa se consumen como alimento nutritivo; tradicionalmente se usa para hidratación y cuidado de la piel.
Coffea arabica,Café,Etiopía,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Coffea%20arabica.jpg,Las semillas se consumen como bebida estimulante por su contenido de cafeína; el exceso puede causar nerviosismo o insomnio.
Coix lacryma-jobi,Cuentita lagrimita de la virgen,Sur de Asia,escapada de cultivo,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Coix%20lacryma-jobi.jpg,Semillas usadas en algunas tradiciones medicinales y alimenticias; se han empleado para problemas digestivos y como diurético suave.
Colocasia esculenta (L.) Schott,Malanga,Asia tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Colocasia%20esculenta%20(L.)%20Schott.jpg,Rizoma comestible rico en carbohidratos; se consume como alimento nutritivo y fuente de energía. Debe cocinarse bien para evitar irritación por oxalatos.
